codigo,descricao,codigo_classe
12735,TINTA ARTÍSTICA                                                                                     ,8010
12735,TINTA ARTÍSTICA                                                                                     ,8010
12735,TINTA ARTÍSTICA                                                                                     ,8010
12736,TINTA BASE / PRIMER                                                                                 ,8010
12737,TINTA DEMARCAÇÃO SINALIZAÇÃO                                                                        ,8010
12738,TINTA DE INSTRUMENTO REGISTRADOR                                                                    ,7510
12739,TINTA DE MADEIRA                                                                                    ,5510
12740,TINTA DE MARCACAO DE ROUPA                                                                          ,8010
12741,TINTA GUACHE                                                                                        ,8010
12742,TINTA AUTOMOTIVA                                                                                    ,8010
12742,TINTA AUTOMOTIVA                                                                                    ,8010
12743,TINTA DE PINTURA DE CALCADO                                                                         ,8010
12744,TINTA DE PINTURA DE PNEU                                                                            ,8010
12745,TINTA PINTURA PREDIAL                                                                               ,8010
12745,TINTA PINTURA PREDIAL                                                                               ,8010
12746,TINTA ESMALTE                                                                                       ,8010
12746,TINTA ESMALTE                                                                                       ,8010
12746,TINTA ESMALTE                                                                                       ,8010
12746,TINTA ESMALTE                                                                                       ,8010
12746,TINTA ESMALTE                                                                                       ,8010
12747,TINTA FOSFORESCENTE                                                                                 ,8010
12748,TINTA GRÁFICA                                                                                       ,8010
12748,TINTA GRÁFICA                                                                                       ,8010
12749,TINTA INDUSTRIAL                                                                                    ,8010
12749,TINTA INDUSTRIAL                                                                                    ,8010
12749,TINTA INDUSTRIAL                                                                                    ,8010
12749,TINTA INDUSTRIAL                                                                                    ,8010
12750,TINTA NUMERADOR - DATADOR METAL                                                                     ,7510
12751,TITANATO DE BÁRIO                                                                                   ,6810
12752,TINTA PARA CONSTRUCAO CIVIL                                                                         ,8010
12753,TINTA PARA DUPLICADOR DIGITAL                                                                       ,7510
12754,CARTUCHO TINTA IMPRESSORA                                                                           ,7045
12755,TINTA                                                                                               ,8010
12755,TINTA                                                                                               ,8010
12756,TINTEIRO DE MESA                                                                                    ,7520
12757,ÁCIDO SULFÚRICO DILUÍDO                                                                             ,6810
12758,BENJOIM                                                                                             ,6505
12759,IODO                                                                                                ,6505
12760,CARBACOL                                                                                            ,6810
12761,TIOCOLCHICOSÍDEO                                                                                    ,6505
12762,TIOCONAZOL                                                                                          ,6505
12763,TIOGUANINA                                                                                          ,6505
12764,ÁCIDO BROMOMETIL-BENZÓICO                                                                           ,6810
12765,N-HIDROXISULFOSUCCINIMIDA                                                                           ,6810
12766,TIOPENTAL SÓDICO                                                                                    ,6505
12767,PIRIDINILPIRAZINA                                                                                   ,6810
12768,TIOSSULFATO DE SÓDIO                                                                                ,6505
12769,TOCOFERSOLANA                                                                                       ,6505
12770,TIPO DE IMPRESSAO                                                                                   ,3610
12771,TIRA CALIBRAGEM SENSITOMETRO                                                                        ,6760
12772,TIRA DE BORRACHA                                                                                    ,9320
12773,BORRACHA SILICONADA                                                                                 ,9320
12773,BORRACHA SILICONADA                                                                                 ,9320
12774,TIRA DE CORTICA                                                                                     ,9390
12775,TIRA DE FERRO E ACO PARA TUBO                                                                       ,9640
12776,TIRA DE METAL PRECIOSO                                                                              ,9545
12777,TIRA IDENTIFICACAO MAPOTECA                                                                         ,7110
12778,TALA FIXAÇÃO                                                                                        ,5330
12779,TIRA PERFURADA DE ACO                                                                               ,9515
12780,TIRA PERFURADA DE MATERIAL METALICO NAO FERROSO                                                     ,9535
12781,TIRA ODONTOLÓGICA (CONSULTAR INC 16369 OU 10357)                                                    ,6520
12782,TIRA RECAUCHUTAGEM                                                                                  ,2640
12783,TIRANTE                                                                                             ,4010
12783,TIRANTE                                                                                             ,4010
12783,TIRANTE                                                                                             ,4010
12784,TIRANTE DE TORRE PRE - FABRICADA                                                                    ,5445
12785,TIRANTES DE TREM DE POUSO DE AERONAVES                                                              ,1620
12786,TIROSINA                                                                                            ,6810
12787,TIROXINA                                                                                            ,6505
12788,TIROXINA SODICA                                                                                     ,6505
12789,TITULADOR POTENCIÔMETRO                                                                             ,6630
12790,SULFETO DE COBRE                                                                                    ,6810
12791,TIZANIDINA                                                                                          ,6505
12792,TOALHA DE PAPEL                                                                                     ,8540
12793,TOALHA PAPEL MESA                                                                                   ,7350
12794,TOALHA ALTAR                                                                                        ,9925
12795,TOBRAMICINA                                                                                         ,6505
12795,TOBRAMICINA                                                                                         ,6505
12796,TOCA - DISCO                                                                                        ,7730
12797,TOCA DISCO LASER ( COMPACT DISK - CD )                                                              ,5835
12798,TOCA-FITAS - VEICULO AUTOMOTIVO                                                                     ,2540
12799,TOESA USO VETERINARIO                                                                               ,6515
12800,TOLAZOLINA                                                                                          ,6505
12801,TOLDO                                                                                               ,7230
12801,TOLDO                                                                                               ,7230
12801,TOLDO                                                                                               ,7230
12801,TOLDO                                                                                               ,7230
12801,TOLDO                                                                                               ,7230
12802,TOLIDINA ORTO                                                                                       ,6505
12803,TOLNAFTATO                                                                                          ,6505
12804,TOLUENO                                                                                             ,6810
12805,TOMADA COM VALVULA GAS - RETA / OBLIQUA                                                             ,4820
12806,TOMADA DE CORRENTE                                                                                  ,5935
12807,TOMADA DE FACA                                                                                      ,5935
12808,TOMADA DE PAREDE DE SOBREPOR                                                                        ,5935
12809,TOMADA POLARIZADA                                                                                   ,5935
12810,TOMATE IN - NATURA                                                                                  ,8915
12811,TOMÓGRAFO                                                                                           ,6525
12812,TOMOGRAFO POR RESSONANCIA NUCLEAR MAGNETICA                                                         ,6515
12813,TONEL - GALVANIZADO                                                                                 ,8110
12814,TONÔMETRO                                                                                           ,6540
12815,TOPIRAMATO                                                                                          ,6505
12816,TORNEIRA - USO MEDICO                                                                               ,6515
12817,TORNEIRA DE PLASTICO PARA INSTALACAO HIDRAULICA                                                     ,4510
12818,TORNEIRA ELETRICA                                                                                   ,4510
12819,TORNEIRA FIXA - USO ODONTOLOGICO                                                                    ,6520
12820,TORNEIRA                                                                                            ,4510
12820,TORNEIRA                                                                                            ,4510
12820,TORNEIRA                                                                                            ,4510
12820,TORNEIRA                                                                                            ,4510
12820,TORNEIRA                                                                                            ,4510
12821,TORNIQUETE                                                                                          ,6515
12822,TORNO - USO ODONTOLOGICO                                                                            ,6520
12823,TORNO COPIADOR                                                                                      ,3416
12823,TORNO COPIADOR                                                                                      ,3416
12824,TORNO DE REPUXAR MATERIAL METALICO INDUSTRIAL                                                       ,3449
12825,TORNO DE TRAVAR MADEIRA                                                                             ,3416
12826,TORNO FERRAMENTEIRO FRONTAL ( PLATO )                                                               ,3416
12827,TORNO FERRAMENTEIRO PARALELO UNIVERSAL DE BANCADA                                                   ,3416
12828,TORNO FERRAMENTEIRO PARALELO UNIVERSAL DE OURIVES                                                   ,3416
12829,TORNO PARA COMPENSADO                                                                               ,3220
12830,TORNO PARA TAMBOR DE FREIO                                                                          ,4910
12831,TORNOZELEIRA                                                                                        ,7810
12832,TORQUEZ - USO ODONTOLOGICO                                                                          ,6520
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12833,MATERIAL VETERINÁRIO                                                                                ,6515
12834,TORQUIMETRO ESCALA DUPLA                                                                            ,5210
12835,TORQUÍMETRO DIGITAL                                                                                 ,5210
12836,TORRADEIRA DE PÃO                                                                                   ,7310
12837,TORRADOR                                                                                            ,7330
12837,TORRADOR                                                                                            ,7330
12837,TORRADOR                                                                                            ,7330
12837,TORRADOR                                                                                            ,7330
12838,TORRE DE HOLOFOTES                                                                                  ,5445
12838,TORRE DE HOLOFOTES                                                                                  ,5445
12839,TORRE DE LINHA DE TRANSMISSAO ATE 145KV                                                             ,5445
12840,TORRE DE LINHA DE TRANSMISSAO ATE 242KV                                                             ,5445
12841,TORRE DE LINHA DE TRANSMISSAO ATE 362KV                                                             ,5445
12842,TORRE DE LINHA DE TRANSMISSAO ATE 550KV                                                             ,5445
12843,TORRE DE LINHA DE TRANSMISSAO ATE 800KV                                                             ,5445
12844,TORRE DE RADAR                                                                                      ,5445
12845,TORRE DE REFRIGERACAO                                                                               ,4110
12845,TORRE DE REFRIGERACAO                                                                               ,4110
12846,TORRE PARA TANQUE DE ARMAZENAMENTO                                                                  ,5445
12847,TOSQUEADEIRA                                                                                        ,3770
