codigo,descricao,codigo_classe
11948,SAQUINAVIR                                                                                          ,6505
11949,SARGENTO                                                                                            ,5120
11950,SARILHO                                                                                             ,3950
11951,METALDEÍDO                                                                                          ,6840
11952,SARRAFO PROTEÇÃO LÂMINA CORTE                                                                       ,3590
11953,SATELITE - ESTRUTURA MONTADA / PROPULSOR                                                            ,1840
11954,SEBO                                                                                                ,9160
11955,SEBO ETEREO                                                                                         ,9160
11956,SEBO VOLATIL                                                                                        ,9160
11957,MÁQUINA SECAR ROUPA                                                                                 ,3510
11957,MÁQUINA SECAR ROUPA                                                                                 ,3510
11958,SECADOR DE FOTOGRAFIA                                                                               ,6740
11959,SECADOR INDUSTRIAL                                                                                  ,3605
11960,SECADOR FILME RAIO X                                                                                ,6525
11961,SECADOR LABORATÓRIO - PEÇA / ACESSÓRIO                                                              ,4440
11962,SECADOR PORTÁTIL DE CABELO                                                                          ,7290
11962,SECADOR / SOPRADOR                                                                                  ,7290
11962,SECADOR / SOPRADOR                                                                                  ,7290
11963,SECANTE                                                                                             ,6850
11964,SECANTE                                                                                             ,8010
11965,SECANTE DE VERNIZ ASFALTICO                                                                         ,8010
11966,SECAO DE PONTE FIXA                                                                                 ,5420
11967,SECAO DE PONTE FLUTUANTE                                                                            ,5420
11968,SECAO DE TRILHO DE DESVIO FERROVIARIO                                                               ,2250
11969,SECNIDAZOL                                                                                          ,6505
11970,SECOES DE BASE                                                                                      ,1110
11971,SECOES DE CARCACAS                                                                                  ,1125
11972,SECOES DE CORPO                                                                                     ,1110
11973,SECOES DE OGIVAS                                                                                    ,1110
11974,SECRETARIA ELETRONICA                                                                               ,5805
11975,SEDA ARTIFICIAL ( RAYON )                                                                           ,9420
11976,SEDA DE ORIGEM ANIMAL                                                                               ,9420
11977,SEDATIVO                                                                                            ,6505
11978,SELA DE MONTARIA ANIMAL                                                                             ,3770
11979,SELADOR / FUNDO PREPARADOR                                                                          ,8010
11980,SELADOR/ENCARTUCHADOR/INCAPSULADOR-PEÇA/ACESSÓRIO                                                   ,3540
11980,SELADOR/ENCARTUCHADOR/INCAPSULADOR-PEÇA/ACESSÓRIO                                                   ,3540
11981,SELANTE PARA FÓSSULAS E FISSURAS                                                                    ,6520
11982,SELÊNIO                                                                                             ,6810
11982,SELÊNIO                                                                                             ,6810
11983,SELENITO DE SÓDIO                                                                                   ,6810
11984,SELETOR LUZ ALTA / BAIXA - VEICULO AUTOMOTIVO                                                       ,6220
11984,SELETOR LUZ ALTA / BAIXA - VEICULO AUTOMOTIVO                                                       ,6220
11985,SELETORES DE PRESSAO DA CABINA DE AERONAVES                                                         ,1660
11986,SELF CONTAINED                                                                                      ,4130
11987,SELIM                                                                                               ,2540
11988,SELO - CHUMBO                                                                                       ,5340
11989,SELO ADUANEIRO                                                                                      ,9915
11990,SELO VEDAÇÃO                                                                                        ,5330
11990,SELO VEDAÇÃO                                                                                        ,5330
11991,SELO DE VEDACAO PARA TETO FLUTUANTE                                                                 ,5430
11992,SELO MECÂNICO                                                                                       ,5330
11992,SELO MECÂNICO                                                                                       ,5330
11992,SELO MECÂNICO                                                                                       ,5330
11993,SELO POSTAL                                                                                         ,7690
11994,SELOTE                                                                                              ,3770
11995,SEMEADEIRA DE GRAMA                                                                                 ,3750
11996,SEMEADOR CENTRIFUGO PARA LIQUIDO                                                                    ,4330
11997,SEMEADOR CENTRIFUGO PARA SOLIDOS                                                                    ,4330
11998,SÊMEN ANIMAL                                                                                        ,6509
11999,SEMENTE DE GIRASSOL IN - NATURA                                                                     ,8730
12000,"SEMENTE, MUDA E PLANTA VIVA                                                                         ",8730
12001,SEMI - REBOQUE - TANQUE DISTRIBUIÇÃO COMBUSTÍVEL                                                    ,2330
12002,SEMI - REBOQUE PARA TRANSPORTE DE POSTE                                                             ,2330
12003,SEMI - REBOQUE TIPO TUNEL PARA TRANSPORTE DE VIDRO EM CAVALETE                                      ,2330
12004,SEMI-EIXO BENGALA - VEICULO AUTOMOTIVO                                                              ,2520
12005,SEMICONDUTOR                                                                                        ,5961
12006,SEMOVENTE                                                                                           ,8820
12007,SENSITOMETRO                                                                                        ,6760
12008,SENSOR OXIMETRIA                                                                                    ,6515
12009,SENSOR*                                                                                             ,6515
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12010,SENSOR ELETRÔNICO                                                                                   ,5999
12011,SENSOR FIBRA ÓTICA                                                                                  ,6030
12012,SENSOR INDICADOR DE PRESENCA POR CELULA INFRAVERMELHA                                               ,5980
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12013,SENSOR                                                                                              ,6685
12014,SENSOR SISTEMA SEGURANÇA                                                                            ,6350
12015,PANORIZADOR                                                                                         ,6350
12016,SENSOR TÉRMICO                                                                                      ,6685
12016,SENSOR TÉRMICO                                                                                      ,6685
12016,SENSOR TÉRMICO                                                                                      ,6685
12016,SENSOR TÉRMICO                                                                                      ,6685
12017,SENSOR TERMICO - VEICULO AUTOMOTIVO                                                                 ,2930
12018,SEPARADOR CABO                                                                                      ,5970
12019,SEPARADOR DE CARTOLINA PARA FICHARIO                                                                ,7510
12020,EQUIPAMENTO SEPARADOR DE CÉLULAS                                                                    ,6515
12021,SEPARADOR SAGITAL                                                                                   ,6520
12021,SEPARADOR SAGITAL                                                                                   ,6520
12022,SEPARADOR DE PLACAS DE BATERIAS                                                                     ,6140
12023,SEPARADOR DE USO EM EMBALAGEM                                                                       ,8135
12024,SEPARADOR INDUSTRIAL                                                                                ,4330
12025,INJETOR CIRÚRGICO                                                                                   ,6515
12026,SEQUENCIA INICIADORA - POLIMERIZACAO ( PRIMER )                                                     ,6640
12027,SERINGA LABORATORIO                                                                                 ,6640
12028,SERINGA DE SOLUCAO DE BATERIA                                                                       ,5120
12029,SERIOGRAFO RAIO X                                                                                   ,6525
12030,SERPENTINA DE COBRE                                                                                 ,4130
12031,SERRA                                                                                               ,6520
12031,SERRA USO ODONTOLÓGICO                                                                              ,6520
12032,SERRA DE GIGLI                                                                                      ,6530
12032,SERRA DE GIGLI                                                                                      ,6530
12033,SERRA CIRCULAR DE MAQUINA DE TRABALHO EM MADEIRA                                                    ,3230
12034,SERRA CIRCULAR INDUSTRIAL                                                                           ,3220
12034,SERRA CIRCULAR INDUSTRIAL                                                                           ,3220
12035,SERRA CIRCULAR MANUAL                                                                               ,3220
12036,SERRA COPO                                                                                          ,5110
12036,SERRA COPO                                                                                          ,5110
12036,SERRA COPO                                                                                          ,5110
12037,SERRA DE MAQUINA - FERRAMENTA                                                                       ,3455
12038,SERRA ELETRICA                                                                                      ,5130
12038,SERRA ELETRICA                                                                                      ,5130
12039,SERRA ELETRICA PORTATIL                                                                             ,5130
12040,SERRA DE FITA                                                                                       ,3449
12041,SERRA CIRÚRGICA                                                                                     ,6515
12041,SERRA CIRÚRGICA                                                                                     ,6515
12041,SERRA CIRÚRGICA                                                                                     ,6515
12041,SERRA CIRÚRGICA                                                                                     ,6515
12042,SERRA PORTATIL                                                                                      ,3450
12043,SERRA TICO-TICO BANCADA                                                                             ,3210
12044,SERRA TICO-TICO MANUAL                                                                              ,5110
12045,SERRAGEM                                                                                            ,5510
12046,SERRALHA IN - NATURA                                                                                ,8915
12047,SERRARIA TRANSPORTAVEL                                                                              ,3210
12048,SEROTONINA                                                                                          ,6810
12049,SERTRALINA CLORIDRATO                                                                               ,6505
12050,"""SERVIDOR DE REDE""                                                                                  ",7010
12051,SERVOMECANISMO DE CONTROLE ELETRICO                                                                 ,6110
12052,SERVOMECANISMO DE CONTROLE HIDRO - PNEUMATICO                                                       ,5990
12053,SEVOFLURANO                                                                                         ,6505
12054,SEXTANTE                                                                                            ,6605
12055,TESTE DE SHILLER                                                                                    ,6505
12056,SIFÃO                                                                                               ,4510
12056,SIFÃO                                                                                               ,4510
12056,SIFÃO                                                                                               ,4510
12056,SIFÃO                                                                                               ,4510
12057,SIGMORETOSCOPIO                                                                                     ,6530
12058,SILENCIADOR DE ARMA                                                                                 ,1095
12059,SILENCIADOR ESCAPAMENTO DESCARGA                                                                    ,2990
12059,SILENCIADOR ESCAPAMENTO DESCARGA                                                                    ,2990
12060,SILENCIADORES                                                                                       ,1005
12061,SÍLICA GEL                                                                                          ,8030
12061,SÍLICA GEL                                                                                          ,8030
12062,SILICONE CONDENSAÇÃO                                                                                ,6520
12063,SILICONA DE ADIÇÃO                                                                                  ,6520
12064,PONTA ABRASIVA                                                                                      ,6520
12065,SILICONE                                                                                            ,6850
12065,SILICONE                                                                                            ,6850
12066,SELANTE ADESIVO                                                                                     ,8040
12066,SELANTE ADESIVO                                                                                     ,8040
12067,SILO DE MATERIAL METALICO                                                                           ,5410
12067,SILO DE MATERIAL METALICO                                                                           ,5410
12068,SILOXANO                                                                                            ,6810
12069,SIMETRIZADOR                                                                                        ,5999
12070,SIMULACRO GRANADA                                                                                   ,1330
12071,SIMULADOR                                                                                           ,6940
12072,SIMULADOR DE POSICAO DE ANTENA                                                                      ,6940
12073,SIMULADORES DE ARTILHARIA                                                                           ,1080
12074,SIMULADORES DE VEICULOS                                                                             ,1080
12075,SIMULADORES DE AERONAVES                                                                            ,1080
12076,SINALEIRA DE BLOQUEIO                                                                               ,6330
12077,COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE                                                   ,6310
12077,COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE                                                   ,6310
12077,COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE                                                   ,6310
12078,MICROESFERA DE VIDRO PARA REFLETORIZAÇÃO                                                            ,6310
12078,MICROESFERA DE VIDRO PARA REFLETORIZAÇÃO                                                            ,6310
12079,SINALEIRA FERROVIARIA                                                                               ,6330
12080,SINALIZACAO MOVEL                                                                                   ,6210
12081,FAIXA REFLETIVA VEÍCULO                                                                             ,6350
12082,SINALIZADOR DE FICHA                                                                                ,7510
12083,SINALIZADOR LUMINOSO DE PAINEL ELÉTRICO                                                             ,6250
12084,SINALIZADOR PIROTÉCNICO                                                                             ,6350
12085,SINCRONIZADOR DE SLIDE                                                                              ,6730
12086,SINCRONIZADOR                                                                                       ,2520
12087,SINCRONIZADORES DE HELICES DE AERONAVES                                                             ,1610
12088,SINCRONOSCOPIO                                                                                      ,5990
12089,DESCOLADOR                                                                                          ,6520
12089,DESCOLADOR ODONTOLÓGICO                                                                             ,6520
12090,SINFISIOTOMO                                                                                        ,6515
12091,SINO PARA ALARME / SINALIZACAO                                                                      ,6350
12091,SINO PARA ALARME / SINALIZACAO                                                                      ,6350
12092,SINOPTOFORO - USO OFTALMOLOGICO                                                                     ,6540
12093,SINTONIZADOR DE ANTENA                                                                              ,5985
12094,SINTONIZADOR DE FREQUENCIA                                                                          ,6625
12095,SINTONIZADOR DE SOM                                                                                 ,5835
12096,SINVASTATINA                                                                                        ,6505
12097,SIRENE DE NEVOEIRO                                                                                  ,6350
12098,SIRENE MULTIAPLICAÇÃO                                                                               ,6350
12098,SIRENE MULTIAPLICAÇÃO                                                                               ,6350
12098,SIRENE MULTIAPLICAÇÃO                                                                               ,6350
12098,SIRENE MULTIAPLICAÇÃO                                                                               ,6350
12098,SIRENE MULTIAPLICAÇÃO                                                                               ,6350
12099,SISAL                                                                                               ,9390
12100,SISTEMA  ( EQUIPAMENTO / SOFTWARE ) GERENCIAMENTO                                                   ,7099
12101,SISTEMA ( EQUIPAMENTO ) TRAFEGO AEREO                                                               ,7099
12102,SISTEMA ARMAZENAMENTO AUTOMATICO                                                                    ,3990
12102,SISTEMA ARMAZENAMENTO AUTOMATICO                                                                    ,3990
12103,SISTEMA AVALIACAO CARDIOLOGICA ( HOLTER )                                                           ,6515
12104,"SISTEMA COMPLETO DE GRAVACAO, RECEPCAO E REPRODUCAO DE SOM                                          ",5835
12105,SISTEMA CONTROLE ACESSO                                                                             ,6350
12106,SISTEMA DE ALARME DE ALTITUDE DE AERONAVE                                                           ,6340
12107,SISTEMA DE ALARME VIA TELEFONE                                                                      ,5810
12108,SISTEMA DE ALIVIAMENTO DE PRESSAO NAO TERMICO                                                       ,3424
12109,SISTEMA DE ALTO - FALANTE                                                                           ,5830
12110,SISTEMA DE ARQUIVAMENTO DE PASTA  CAIXA  FICHA  TIPO DESLIZANTE                                     ,7460
12111,SISTEMA DE ÁUDIO COMUNICAÇÃO COM/SEM FIO                                                            ,5830
12112,SISTEMA DE COMBATE A INCENDIO                                                                       ,4210
12113,SISTEMA DE CONTROLE                                                                                 ,2030
12114,SISTEMA DE CONTROLE DE FUMACA DE SISTEMA DE COMBUSTIVEL DE AERONAVE                                 ,2915
12115,SISTEMA DE CONTROLE DE TORQUE                                                                       ,5280
12116,SISTEMA EXTRATOR                                                                                    ,6515
12117,SISTEMA DE EQUIPAMENTO DA CLASSE 4110                                                               ,4130
12118,SISTEMA DE EXTINTOR DE INCENDIO EM AERONAVES                                                        ,1680
12119,SISTEMA DE FILTRO DE MANGA DE PURIFICACAO DE AR                                                     ,4460
12120,SISTEMA DE GOVERNO                                                                                  ,2030
12121,SISTEMA ILUMINAÇÃO                                                                                  ,6350
